record_number,retrieval_status,extraction_status,full_text_verified,audit_status,audit_basis,extraction_evidence_source,review_required,substantive_extraction_retained
104-310-034-385-768,obtained,extracted,true,verified_full_text,open-access publisher full text,ScienceDirect, false,true
81121,obtained,extracted,true,verified_full_text,open-access publisher full text,ScienceDirect, false,true
75078,obtained,extracted,true,verified_full_text,NOAA accepted-manuscript PDF,NOAA repository, false,true
81025,obtained,extracted,true,verified_full_text,open-access PMC/PLOS full text,PMC/PLOS, false,true
82667,obtained,extracted,true,verified_full_text,conference paper PDF,Dioxin20xx PDF, true,true
091-162-729-204-060,obtained,extracted,true,verified_full_text,open-access full PDF,Springer/PMC/DNB, false,true
72927,located_not_obtained,blocked,false,invalid_extraction,abstract/publisher record only,,true,false
77054,located_not_obtained,blocked,false,invalid_extraction,abstract/metadata; no usable full text,,true,false
82654,located_not_obtained,blocked,false,invalid_extraction,project/report metadata; thesis not obtained,,true,false
81696,located_not_obtained,blocked,false,invalid_extraction,JAMA article page provides abstract/metadata but not verified full text,,true,false
82603,located_not_obtained,blocked,false,invalid_extraction,title/author records only,,true,false
79345,located_not_obtained,blocked,false,invalid_extraction,abstract and ResearchGate no-full-text indication,,true,false
74229,located_not_obtained,blocked,false,invalid_extraction,abstract/publisher record only,,true,false
79863,obtained,extracted,true,verified_full_text,open-access PMC/ePrints full text,PMC/ePrints, false,true
81839,obtained,extracted,true,verified_full_text,open-access PMC/ScienceDirect full text,PMC/ScienceDirect, false,true
75078,obtained,extracted,true,verified_full_text,NOAA accepted-manuscript PDF,NOAA repository, false,true
