record_number,title,extraction_status,source_url
020-246-382-201-989,"Spray-dried porcine plasma protein improves the performance of Atlantic salmon (Salmo salar) during sea-water transfer",extracted_v0.2,"https://link.springer.com/article/10.1007/s10499-025-02384-z"
74652,"Identification and characterization of lactic acid bacteria isolated from rainbow trout (Oncorhynchus mykiss, Walbaum 1792), with inhibitory activity against Vagococcus salmoninarum and Lactococcus garvieae",extracted_v0.2,"https://onlinelibrary.wiley.com/doi/10.1111/anu.12571"
79467,"Piscine orthoreovirus demonstrates high infectivity but low virulence in Atlantic salmon of Pacific Canada",extracted_v0.2,"https://pmc.ncbi.nlm.nih.gov/articles/PMC6416343/"
80086,"Isolation, Functional Characterization and Transmissibility of p3PS10, a Multidrug Resistance Plasmid of the Fish Pathogen Piscirickettsia salmonis",extracted_v0.2,"https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2018.00923/full"
78545,"The effect of exposure to farmed salmon on piscine orthoreovirus infection and fitness in wild Pacific salmon in British Columbia, Canada",extracted_v0.2,"https://pmc.ncbi.nlm.nih.gov/articles/PMC5728458/"
78756,"The use of palm oil in aquaculture feeds for salmonid species",extracted_v0.2,"https://agris.fao.org/search/en/providers/124629/records/6748c1217625988a37208255"
81102,"Sensing the Limits of Fixed Marine Property Rights in Changing Coastal Ecosystems: Salmon Aquaculture Concessions, Crises, and Governance Challenges in Southern Chile",extracted_v0.2,"https://www.tandfonline.com/doi/full/10.1080/13880292.2016.1248647"
76311,"Tissue specific expression of antifreeze protein and growth hormone transgenes driven by the ocean pout (Macrozoarces americanus) antifreeze protein OP5a gene promoter in Atlantic salmon (Salmo salar)",extracted_v0.2,"https://pubmed.ncbi.nlm.nih.gov/17764031/"
83800,"Effect of Gamma irradiation and frozen storage on microbial quality of Rainbow trout (Oncorhynchus mykiss) fillet",extracted_v0.2,"https://www.researchgate.net/publication/367476246_Effect_of_Gamma_irradiation_and_frozen_storage_on_microbial_quality_of_Rainbow_trout_Oncorhynchus_mykiss_fillet"
73805,"Vaccination improves survival of Baltic salmon (Salmo solar) smolts in delayed release sea ranching (net-pen period)",extracted_v0.2,"https://orbit.dtu.dk/files/96858305/Vaccination_improves_survival_Aquaculture_1997.pdf"
