record_number,title,study_system_code,study_system_subcode,study_system_detail,paper_type,evidence_generation,study_approach,study_method,study_context,focal_factor_code,focal_factor_detail,comparison_type,comparison_detail,study_outcome_code,study_outcome_subcode,study_outcome_detail,review_required,new_code_candidate,new_code_parent,new_code_label,source_url
73814,"Susceptibility, behaviour and retention of the parasitic salmon louse (Lepeophtheirus salmonis) differ with Atlantic salmon population origin",biological_population,pathogen_parasite_population,"Atlantic salmon populations and salmon louse host-parasite interaction",empirical_research,empirical,quantitative,experiment,experimental_research,genetic_factor,"Atlantic salmon population origin/domestication and infestation history","species_comparison;treatment_comparison_group","wild anadromous vs wild landlocked vs domesticated vs genetically modified domesticated strains; previously infested vs naïve domesticated strains","health_disease;behaviour_welfare","parasite_load;behaviour","salmon louse acquisition, retention, parasite density and antiparasite behaviours",false,false,,,,"https://www.researchgate.net/publication/319882283_Susceptibility_behaviour_and_retention_of_the_parasitic_salmon_louse_Lepeophtheirus_salmonis_differ_with_Atlantic_salmon_population_origin"
80468,"Measurement of fish size in atlantic salmon (salmo salar l.) cages using stereographic video techniques",aquaculture_production_system,marine_cage,"commercial-sized Atlantic salmon cages",empirical_research,empirical,"quantitative;methodological","methodological_development;comparative_study","commercial_aquaculture;commercial_farm",facility_system,"video sampling position, feeding, sorting and stocking conditions",system_comparison,"stereographic video/FICASS estimates vs physical sampling and harvest data",production,measurement,"fish length/mass measurement accuracy and agreement with physical/harvest measurements",true,false,,,,"https://www.sciencedirect.com/science/article/pii/S0144860997000125"
76408,"Transcriptome Analyses Reveal Lipid Metabolic Process in Liver Related to the Difference of Carcass Fat Content in Rainbow Trout (Oncorhynchus mykiss)",farmed_animal,,"rainbow trout liver tissue with high and low carcass fat content",empirical_research,empirical,quantitative,"genetic_genomic_analysis;laboratory_analytical_analysis","experimental_research;laboratory",genetic_factor,"high vs low carcass fat content phenotype",treatment_comparison_group,"high carcass-fat vs low carcass-fat fish groups","genetic_genomic;production","gene_expression;body_composition","liver transcriptome, differentially expressed transcripts and lipid-metabolism pathways related to carcass fat",false,false,,,,"https://pmc.ncbi.nlm.nih.gov/articles/PMC5019904/"
82413,"Certification Issues for Some Common Aquaculture Species",aquaculture_production_system,other_aquaculture_system,"aquaculture production facilities and certification schemes",review_synthesis,secondary_review,review_synthesis,review,documentary_literature,policy_regulation,"aquaculture certification standards",species_comparison,"certification issues across channel catfish, tilapia, rainbow trout, oysters, mussels, clams, scallops, abalone and seaweed","policy_governance;environmental;social",,"certification criteria relating to land/water use, pollution, benthic effects, biodiversity, chemicals, workers/local communities and food safety",false,false,,,,"https://www.researchgate.net/publication/233362891_Certification_Issues_for_Some_Common_Aquaculture_Species"
82707,"Breeding Performances Recorded in Rainbow Trout (Oncorhynchus Mykiss) Bred into Improved Closed Space Tanks",aquaculture_production_system,tank,"closed-space hall with a circular 3.14 m3 breeding tank",empirical_research,empirical,quantitative,experiment,experimental_research,facility_system,"super-intensive closed-space tank rearing system",no_explicit_comparison,,production,growth,"breeding/growth performance",false,false,,,,"https://editura.bioflux.com.ro/docs/petrescu-mag.i.v/2008%2C%20Bulletin%20UASVM%20Animal%20Science%20and%20Biotechnologies%2C%20Vol.65%2C%20283-287.pdf"
82398,"Gender systems and women's labor force participation in the salmon industry in Chiloé, Chile",social_system,local_community,"women workers and households in Chiloé salmon industry communities",empirical_research,empirical,"quantitative;qualitative","survey_questionnaire;case_study",community_social_setting,social_factor,"gender systems and territory-specific social factors",other,"women vs men in labour-force participation and wage outcomes",social,"employment;wage","labour-force participation and wage differences",true,true,comparison_type,demographic_group_comparison,"https://www.sciencedirect.com/science/article/pii/S0305750X14003520"
029-936-459-045-888,"Regulating a 'fish out of place': A global assessment of farmed salmon escape policies and frameworks",policy_governance_system,,"global regulatory frameworks governing farmed salmon escapes",policy_governance_analysis,reported_secondary_information,"qualitative;descriptive",review,"administrative_institutional_setting;documentary_literature",policy_regulation,"farmed salmon escape policies and regulatory frameworks",spatial_comparison,"escape policies and frameworks across 14 global production regions","policy_governance;ecological",,"policy coverage, mechanisms, strengths/weaknesses and implications for environmental/ecological impacts of escapes",false,false,,,,"https://www.sciencedirect.com/science/article/pii/S0308597X24005724"
73576,"Feeding high inclusion of whole grain white lupin (Lupinus albus) to rainbow trout (Oncorhynchus mykiss): effects on growth, nutrient digestibility, liver and intestine histology and muscle fatty acid composition",farmed_animal,,"rainbow trout fed experimental lupin diets",empirical_research,empirical,quantitative,"experiment;laboratory_analytical_analysis",experimental_research,diet_feed,"0%, 30%, 40% and 50% whole-grain white lupin in extruded diets",dose_gradient_comparison,"increasing dietary lupin inclusion levels","production;health_disease","growth;digestibility;histology","growth performance, feed utilization, digestibility, hepatosomatic index, liver/intestine histology and muscle fatty acid composition",false,false,,,,"https://onlinelibrary.wiley.com/doi/10.1111/j.1365-2109.2010.02690.x"
75918,"Phenylalanine Hydroxylase RNAi Knockdown Negatively Affects Larval Development, Molting and Swimming Performance of Salmon Lice",biological_population,pathogen_parasite_population,"salmon louse Lepeophtheirus salmonis larvae",empirical_research,empirical,quantitative,"experiment;genetic_genomic_analysis;laboratory_analytical_analysis",laboratory,genetic_factor,"RNAi knockdown of phenylalanine hydroxylase (LsPAH)",treatment_comparison_group,"LsPAH RNAi knockdown vs control RNAi treatment","genetic_genomic;health_disease;behaviour_welfare","gene_expression;development;swimming","PAH expression, larval development, molting, morphology and swimming performance",false,false,,,,"https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2020.608463/full"
73363,"Introgression of domesticated salmon changes life history and phenology of a wild salmon population",biological_population,wild_population,"wild Atlantic salmon population with long-term domesticated introgression",empirical_research,empirical,quantitative,"observational_study;field_study",field_natural_environment,genetic_factor,"individual genomic admixture from domesticated salmon",dose_gradient_comparison,"phenotypic traits across individual levels of domesticated genetic admixture","production;genetic_genomic;ecological","growth;life_history;phenology","size, smolt age, age at maturity and date of return to river",false,false,,,,"https://pmc.ncbi.nlm.nih.gov/articles/PMC9108307/"
