record_number,title,full_text_obtained,extraction_status
104-310-034-385-768,"Carbon footprint of alternative protein sources for Atlantic salmon (Salmo salar) aquaculture: A two-step systematic literature review",Yes,extracted_v0.1
81121,"Design, dimensioning, and performance of a research facility for studies on the requirements of fish in RAS environments",Yes,pending
72927,"Squid as feed for salmonids",No,pending_fulltext
77054,"Marine netpen farming leads to infections with some unusual parasites",No,pending_fulltext
82654,"Neuroendocrine factors involved in appetite control and feed intake in Atlantic salmon (Salmo salar) reared in Recirculating Aquaculture Systems (RAS)",No,pending_fulltext
81696,"New on the Menu: Genetically Modified Salmon",Yes,pending
82603,"Microbiological monitoring of an Atlantic salmon recirculating aquaculture system (RAS) – Health and quality assessment",No,pending_fulltext
79345,"Infestation rates of lice Lepeophtheirus salmonis and Caligus elongatus on Atlantic salmon in fixed and towed sentinel cages",No,pending_fulltext
74229,"Deposition and mobilization of lipids varies across the rainbow trout fillet during feed deprivation and transition from plant to fish oil-based diets",No,pending_fulltext
79863,"Can variation in standard metabolic rate explain context-dependent performance of farmed Atlantic salmon offspring?",Yes,pending
75078,"Effects of selenium-enriched prebiotic on the growth performance, innate immune response, oxidative enzyme activity and microbiome of rainbow trout (Oncorhynchus mykiss)",No,pending_fulltext
81839,"Early life stress causes persistent impacts on the microbiome of Atlantic salmon",Yes,pending
82917,"Ağ kafeslerde yetiştirilen gökkuşağı alabalığı Oncorhynhus mykiss (Walbaum, 1792)'in kan protein düzeyleri Blood protein levels of rainbow trout Oncorhynchus mykiss (Walbaum, 1792) cultured in the cage",No,pending_fulltext
81025,"Evaluation of the biosecurity and network of the Irish salmonid farming industry: implications for disease prevention and control",No,pending_fulltext
81130,"High mortality of rainbow trout (Salmo gairdneri) fry caused by deficiency of vitamins C and B2 in commercial fish farms in Yugoslavia",No,pending_fulltext
020-246-382-201-989,"Spray-dried porcine plasma protein improves the performance of Atlantic salmon (Salmo salar) during sea-water transfer",Yes,pending
74291,"Las Enfermedades De Los Peces Y Su Control En El Norte De America Del Sur (Fish Diseases and Their Control in Northern South America)",No,pending_fulltext
74652,"Identification and characterization of lactic acid bacteria isolated from rainbow trout (Oncorhynchus mykiss, Walbaum 1792), with inhibitory activity against Vagococcus salmoninarum and Lactococcus garvieae",Yes,pending
74425,"Carotenoids in fish. XX. Carotenoids in Salmo gairdneri rich. And Salmo trutta morpha fario L",No,pending_fulltext
79467,"Piscine orthoreovirus demonstrates high infectivity but low virulence in Atlantic salmon of Pacific Canada",Yes,pending
80086,"Isolation, Functional Characterization and Transmissibility of p3PS10, a Multidrug Resistance Plasmid of the Fish Pathogen Piscirickettsia salmonis",Yes,pending
