record_number,retrieval_status,source_url,notes
75078,full_text_obtained,https://repository.library.noaa.gov/view/noaa/41865/noaa_41865_DS1.pdf,NOAA accepted manuscript PDF
82917,full_text_obtained,https://agrifoodscience.com/index.php/TURJAF/article/view/2587,Publisher full-text article page
73504,full_text_obtained,https://hal.science/hal-01595642v1/file/Bobe2016.pdf,HAL repository PDF
82667,full_text_obtained,https://dioxin20xx.org/wp-content/uploads/pdfs/2006/06-331.pdf,Conference PDF containing full paper
74767,full_text_obtained,https://www.sciencedirect.com/science/article/pii/S0144860997010133/pdf,ScienceDirect PDF
79559,full_text_obtained,https://journals.eco-vector.com/1026-3470/article/view/647779/en_US,Publisher full-text page; Russian full text
091-162-729-204-060,full_text_obtained,https://pmc.ncbi.nlm.nih.gov/articles/PMC12144070/,PMC full text
82903,full_text_obtained,https://theses.gla.ac.uk/id/eprint/75750,University of Glasgow thesis full text
81873,located_but_not_obtainable,https://dspace.stir.ac.uk/handle/1893/18195,Repository identifies published PDF but it is embargoed; not counted as obtainable full text
79012,not_obtained,https://www.sciencedirect.com/science/article/pii/S0044848614004888,Publisher abstract only; ResearchGate reports no full text available
74395,not_obtained,https://pubmed.ncbi.nlm.nih.gov/36934886/,Publisher access required; PubMed abstract only
73451,not_obtained,https://www.tandfonline.com/doi/abs/10.1080/00036849300000128,Publisher abstract/PDF requires access
