record_number,title,initial_status,retrieval_status,full_text_url,notes
72927,"Squid as feed for salmonids",No,not_obtained,,Publisher page/abstract located; no freely accessible full text located in current search
77054,"Marine netpen farming leads to infections with some unusual parasites",No,obtained,https://www.sciencedirect.com/science/article/abs/pii/S0020751900000187,"Search index exposes article text beyond abstract, including Introduction, case sections and Discussion; full article text available through indexed publisher page"
82654,"Neuroendocrine factors involved in appetite control and feed intake in Atlantic salmon (Salmo salar) reared in Recirculating Aquaculture Systems (RAS)",No,not_obtained,,No usable full text located in current search
82603,"Microbiological monitoring of an Atlantic salmon recirculating aquaculture system (RAS) – Health and quality assessment",No,not_obtained,,No usable full text located in current search
79345,"Infestation rates of lice Lepeophtheirus salmonis and Caligus elongatus on Atlantic salmon in fixed and towed sentinel cages",No,located_not_confirmed,,CiteDrive exposes a PDF route but accessible full text not confirmed
74229,"Deposition and mobilization of lipids varies across the rainbow trout fillet during feed deprivation and transition from plant to fish oil-based diets",No,not_obtained,,Publisher abstract and ResearchGate request-copy located; no free full text confirmed
75078,"Effects of selenium-enriched prebiotic on the growth performance, innate immune response, oxidative enzyme activity and microbiome of rainbow trout (Oncorhynchus mykiss)",No,obtained,https://repository.library.noaa.gov/view/noaa/41865/noaa_41865_DS1.pdf,"NOAA repository accepted manuscript PDF; parsed"
82917,"Ağ kafeslerde yetiştirilen gökkuşağı alabalığı Oncorhynhus mykiss (Walbaum, 1792)'in kan protein düzeyleri Blood protein levels of rainbow trout Oncorhynchus mykiss (Walbaum, 1792) cultured in the cage",No,obtained,https://agrifoodscience.com/index.php/TURJAF/article/view/2587/1211,"Journal provides a downloadable PDF; search index exposes PDF content; CC BY-NC 4.0"
81025,"Evaluation of the biosecurity and network of the Irish salmonid farming industry: implications for disease prevention and control",No,obtained,https://pmc.ncbi.nlm.nih.gov/articles/PMC5790274/,"Open published related article available as PLOS/PMC; parsed"
81130,"High mortality of rainbow trout (Salmo gairdneri) fry caused by deficiency of vitamins C and B2 in commercial fish farms in Yugoslavia",No,not_obtained,,ScienceDirect article page/abstract only; no free full text confirmed
74291,"Las Enfermedades De Los Peces Y Su Control En El Norte De America Del Sur (Fish Diseases and Their Control in Northern South America)",No,not_obtained,,ResearchGate abstract/request-copy only in current search
74425,"Carotenoids in fish. XX. Carotenoids in Salmo gairdneri rich. And Salmo trutta morpha fario L",No,not_obtained,,Bibliographic references located; no usable full text confirmed
73504,"The rainbow trout genome, an important landmark for aquaculture and genome evolution",No,not_obtained,,ScienceDirect chapter abstract only; no free full text confirmed
089-657-666-006-181,"Natural exposure to Lactococcus garvieae in rainbow trout: evidence of susceptibility and clinical outcomes",No,not_obtained,,Current search finds a later 2026 article with same title but not the pilot record; do not substitute
83780,"Holyrood Committee highlights concerns about the environmental impact of salmon farming",No,not_obtained,,No usable source identified in current search
82667,"A Serving of Farmed Salmon: How the Risks Outweigh the Benefits for Norwegians",No,obtained,https://dioxin20xx.org/wp-content/uploads/pdfs/2006/06-331.pdf,"Conference paper PDF; parsed"
81909,"The Ecological Embeddedness of Global Production Networks: Salmon Aquaculture and Palm Oil",No,not_obtained,,Author summary located; no full paper confirmed
73451,"A dominant firm model of price determination in the US fresh salmon market: 1985—88",No,located_not_confirmed,https://www.econbiz.de/Record/a-dominant-firm-model-of-price-determination-in-the-us-fresh-salmon-market-1985-1988-bjorndahl/10005357999,"Working-paper/full-text record located via EconBiz/RePEc, but the actual full text was not parsed"
74395,"Basal and immune-responsive transcript expression of two Atlantic salmon interferon regulatory factor 2 (irf2) paralogues",No,not_obtained,,Publisher abstract and ResearchGate request-copy located; no free full text confirmed
82638,"Saprolegnia infections after vaccination in Scottish salmon aquaculture: a host-pathogen interaction influenced by stress",No,not_obtained,,No usable full text confirmed in current search
84045,"Influence of water temperature and energy values of nutrients on mass growth of rainbow trout (Oncorhynchus mykiss, Walbaum 1792) grown in cages",No,not_obtained,,No usable full text confirmed in current search
74767,"Biotreatment of fish farm effluents using the cyanobacterium Phormidium bohneri",No,located_not_confirmed,,ScienceDirect PDF route indexed, but full PDF text was not successfully parsed
82580,"Completion Report for Minnesota Technology, Inc. (June 30, 1999): Development of Salmon and Trout Aquaculture in Mine Pit Lakes (1989-1991); Commercial Aquaculture Implications for Water Quality (1991-1993); Constructed Wetlands for Treating Aquaculture Wastes (1993-1996)",No,not_obtained,,No usable full report confirmed in current search
79559,"Lipid profile of parr and smolts of Atlantic salmon (Salmo salar L.) reared in aquaculture under various lighting regimes",No,located_not_confirmed,https://edgccjournal.org/1026-3470/article/view/647779,"Search results conflict on access state; full text not successfully parsed"
74994,"Anti-oxidative Properties of Lipids Extracted from Rainbow Trout (Oncorhynchus mykiss) Fed with Carotenoids and Conjugated Linoleic Acid",No,not_obtained,,No usable full text confirmed in current search
091-162-729-204-060,"Threshold-based disease treatment approach modulates economic, conservation and evolutionary trade-offs in sea louse-salmon aquaculture system.",No,obtained,https://d-nb.info/1373682507/34,"Open full PDF; parsed"
77521,"The metabolic barrier of the lower intestinal tract of salmon to the oral delivery of protein and peptide drugs",No,not_obtained,,ScienceDirect/PubMed full article text indexed but publisher access appears restricted
82903,"Individual growth variability in farmed Atlantic salmon (Salmo salar L.): the role of social interactions",No,located_not_confirmed,https://theses.gla.ac.uk/75750/,"University of Glasgow confirms a 13 MB full PDF exists, but PDF text was not successfully parsed in this pass"
79012,"Changes in fatty acid composition and stable isotope signature of Atlantic cod (Gadus morhua) in response to laboratory dietary shifts",No,not_obtained,,ScienceDirect page exposes abstract/highlights; ResearchGate explicitly says no full-text available; no free full text confirmed
81737,"Development of simulation models for transmission of Salmonid Rickettsial Septicaemia between salt water fish farms in Chile",No,not_obtained,,ResearchGate request-copy only; no free full text confirmed
82901,"Isolation of Neoparamoeba pemaquidensis Page, 1987 from Marine and Estuarine Sediments in Tasmania",No,not_obtained,,No usable full text confirmed in current search
80318,"Aquaculture Chemicals",No,not_obtained,,No usable full text confirmed in current search
81648,"Impact of fish growing conditions and cooking methods on selenium species in swordfish and salmon fillets",No,located_not_confirmed,https://burjcdigital.urjc.es/items/37915125-8d23-4ca4-a9cb-0b2b1640bf0c,"Institutional repository provides a full-PDF viewer, but PDF text was not successfully parsed in this pass"
82529,"Cutting edge of chromosome manipulation for aquaculture and conservation of salmonids",No,not_obtained,,No usable full text confirmed in current search
81873,"Seasonality in live fish movements and its effects on epidemic dynamics",No,not_obtained,,University repository copy is embargoed until 3000; request-copy only
80872,"Parasites From Fish Farms Driving Wild Salmon to Extinction",No,obtained,https://www.scribd.com/document/47623281/Science-Magazine-5857-2007-12-14,"Search index exposes the complete Science article text; accessible copy located via Scribd"
