record_number,title,doi,retrieval_status,extraction_status,farmed_species,study_system_code,study_system_subcode,study_system_detail,geography,study_objective,paper_type,evidence_generation,study_approach,study_method,study_context,life_stage,fish_origin,facility_code,facility_detail,temporal_scope,study_unit,focal_factor_code,focal_factor_detail,comparison_type,comparison_detail,study_outcome_code,study_outcome_subcode,study_outcome_detail,evidence_section,evidence_passage,extraction_confidence,review_required,new_code_candidate,new_code_parent,new_code_label,full_text_url,retrieval_attempts,last_checked,full_text_source,full_text_verified,extraction_source_section,extraction_evidence,audit_status,audit_notes
104-310-034-385-768,"Carbon footprint of alternative protein sources for Atlantic salmon (Salmo salar) aquaculture: A two-step systematic literature review",10.1016/j.aqrep.2024.102601,obtained,extracted,"Atlantic salmon (Salmo salar)",economic_system,,"aquafeed/protein supply system",,"Identify alternative protein sources for Atlantic salmon aquaculture and assess carbon-footprint hotspots of those alternatives",review_synthesis,secondary_review,review_synthesis,systematic_literature_review,documentary_literature,multiple,multiple,,,review period 2015-2024 and second review 2024,literature_study,diet_feed,"alternative protein sources for salmon feed",system_comparison,"alternative protein sources and their carbon-footprint performance",environmental,carbon_footprint,"carbon footprint; greenhouse-gas hotspots",methods_results,"The first review identified alternative proteins relevant to Atlantic salmon aquaculture; the second assessed environmental performance using carbon footprint as the indicator.",high,false,false,,,,https://www.sciencedirect.com/science/article/pii/S2352513424006896,"ScienceDirect open-access full text; ResearchGate full-text copy; DOI/title search",2026-08-18,ScienceDirect,true,Methods;Results,"Methods state two systematic literature reviews; Results report 91 papers in the first review and 29 in the carbon-footprint review.",audited,"Full text verified; extraction based on full text"
81121,"Design, dimensioning, and performance of a research facility for studies on the requirements of fish in RAS environments",10.1016/j.aquaeng.2012.11.002,obtained,extracted,"Atlantic salmon (Salmo salar)",aquaculture_production_system,RAS,"Nofima Centre for Recirculation in Aquaculture; four independent RASs",Norway,"Describe and dimension a research facility for studying fish requirements in RAS and evaluate facility performance",empirical_research,empirical,quantitative,"case_study;monitoring_assessment",research_aquaculture,parr;smolt,experimental_stock,RAS,"four independent RASs",first 3 years of operation,fish_group;system,facility_system,"RAS facility design/performance and feed loading",system_comparison;dose_gradient_comparison,"facility performance against design assumptions; increasing feed loads",environmental;production,water_quality;growth,"TAN, nitrite and CO2 concentrations/removal efficiency; feed-load capacity; Atlantic salmon growth",methods_results,"Trial 1 evaluated growth of Atlantic salmon parr; Trial 2 evaluated water quality and removal efficiency at increasing daily feed loads.",high,false,false,,,,https://www.sciencedirect.com/science/article/pii/S0144860912000866,"ScienceDirect open-access full text; ResearchGate author copy; USDA; EPA HERO",2026-08-18,ScienceDirect,true,Methods;Results,"Full text reports Trial 1 and Trial 2, including feed loads of 42, 49 and 61 kg/day against a theoretical 45 kg/day capacity.",audited,"Full text verified; extraction based on Methods and Results"
72927,"Squid as feed for salmonids",10.1016/0044-8486(87)90154-2,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/0044848687901542,"ScienceDirect abstract/publisher route; exact-title searches; no usable full text located",2026-08-18,,false,,,audited,"Publisher abstract was located but not counted as full text; no substantive extraction"
77054,"Marine netpen farming leads to infections with some unusual parasites",10.1016/S0020-7519(00)00018-7,obtained,extracted,"Atlantic salmon; rainbow trout; Chinook salmon",aquaculture_production_system,marine_netpen,"marine netpen farming",Pacific Northwest; Chile; Tasmania; Atlantic Canada,"Describe unusual parasite infections associated with salmonid marine netpen farming",perspective_review,secondary_review,descriptive,review,documentary_literature,multiple,,,marine_netpen,"marine netpens",review of reported cases,fish_group,environmental_condition,"marine netpen environment",system_comparison,"introduced hosts in new geographic areas and indigenous hosts in marine netpens",health_disease,parasitology,"unusual parasite infections and host-parasite relationships",introduction;results;discussion,"The review describes parasite infections associated with salmonids reared in marine netpens and discusses why netpens create opportunities for unusual host-parasite relationships.",high,false,false,,,,https://www.sciencedirect.com/science/article/abs/pii/S0020751900000187,"ScienceDirect article preview/full-text indexed text; PubMed; exact-title search",2026-08-18,ScienceDirect,true,Full text,"Indexed article text includes Introduction, multiple parasite-specific sections and Discussion.",audited,"Full text verified; extraction based on full article text"
82654,"Neuroendocrine factors involved in appetite control and feed intake in Atlantic salmon (Salmo salar) reared in Recirculating Aquaculture Systems (RAS)",,obtained,extracted,Atlantic salmon,aquaculture_production_system,RAS,"Atlantic salmon reared in RAS",Norway,"Investigate neuroendocrine factors involved in appetite control and feed intake in Atlantic salmon reared in RAS",thesis,empirical,quantitative,experiment,laboratory_research,post-smolt,experimental_stock,RAS,"intensive post-smolt RAS production",2017-2018,individual_fish;brain_region,physiological,"neuropeptide expression and appetite-related physiology",,not_applicable,physiological,appetite,"mRNA expression of NPY, CART, AgRP-1 and POMCa2s across brain regions; effects associated with vaccination/fasting",methods_results,"The available document reports qPCR measurement of appetite-related neuropeptide mRNA in six brain regions and significant regional expression differences.",medium,true,false,,,,https://www.fiskeridir.no/Akvakultur/Delt-kunnskap-og-erfaring/Groene-loeyve/_/attachment/download/74345348-4d11-46fd-97b9-42cde2e9821f%3Ac51e2421f975ba3f4d1283293b104e723cbcd92c/hardingsmolt-as-2020.pdf,"UiB author page; Fisheries Directorate project PDF containing the thesis abstract and study description; CtrlAQUA reports",2026-08-18,Fisheries Directorate project PDF,true,Methods;Results,"Full thesis PDF not independently located; extraction is restricted to the accessible document's reported study description/abstract. Human review required.",audited,"Verified accessible source but not independently verified as the complete thesis; retained with review flag"
81696,"New on the Menu: Genetically Modified Salmon",10.1001/jama.2015.17339,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://jamanetwork.com/journals/jama/article-abstract/2480466,"JAMA publisher record/abstract; ResearchGate request-full-text page; exact-title searches",2026-08-18,,false,,,audited,"Abstract/metadata located but no verified complete article; no substantive extraction"
82603,"Microbiological monitoring of an Atlantic salmon recirculating aquaculture system (RAS) – Health and quality assessment",,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/author/6602987414/ingrid-k-bakke,"ScienceDirect author search; exact-title searches; author/publication searches; no verified complete text located",2026-08-18,,false,,,audited,"No verified complete full text; no substantive extraction"
79345,"Infestation rates of lice Lepeophtheirus salmonis and Caligus elongatus on Atlantic salmon in fixed and towed sentinel cages",10.3354/dao03748,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.citedrive.com/en/discovery/infestation-rates-of-lice-lepeophtheirus-salmonis-and-caligus-elongatus-on-atlantic-salmon-in-fixed-and-towed-sentinel-cages/,"Inter-Research/CiteDrive article and PDF route; exact-title searches; no verified complete text located",2026-08-18,,false,,,audited,"Article information and abstract located; no verified complete full text; no substantive extraction"
74229,"Deposition and mobilization of lipids varies across the rainbow trout fillet during feed deprivation and transition from plant to fish oil-based diets",10.1016/j.aquaculture.2018.03.012,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/abs/pii/S0044848618301327,"ScienceDirect; USDA ARS; ResearchGate request-full-text; DOI/title/PDF searches",2026-08-18,,false,,,audited,"Abstract and interpretive summary located but no verified complete full text; no substantive extraction"
79863,"Can variation in standard metabolic rate explain context-dependent performance of farmed Atlantic salmon offspring?",10.1002/ece3.4716,obtained,extracted,Atlantic salmon,semi_natural_research,stream_channel,"farmed, hybrid and wild salmon offspring tested in semi-natural stream channels",Norway,"Test whether domestication-associated standard metabolic rate and its interaction with food availability explain early-life performance of farmed salmon offspring",empirical_research,empirical,quantitative,"experiment;comparative_study",semi_natural_research,embryo;juvenile,mixed_origin,semi_natural_stream,"semi-natural stream channels",early-life experiment,individual_fish;fish_group,genetic_origin,"farmed, hybrid and wild offspring; food availability",system_comparison;treatment_comparison_group,"farmed vs hybrid vs wild offspring; high vs low food availability",production,growth,"standard metabolic rate; survival; growth; competitive ability",methods_results,"Open full text reports experiments comparing farmed, hybrid and wild offspring under different food-availability contexts in semi-natural streams.",high,false,false,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6342125/;https://eprints.gla.ac.uk/177094/,"PMC; University of Glasgow repository; ResearchGate full-text copy",2026-08-18,PMC/ePrints,true,Methods;Results,"Full text is openly available under CC BY 4.0 and contains Methods and Results.",audited,"Full text verified; extraction based on Methods and Results"
