record_number,title,doi,retrieval_status,extraction_status,farmed_species,study_system_code,study_system_subcode,study_system_detail,geography,study_objective,paper_type,evidence_generation,study_approach,study_method,study_context,life_stage,fish_origin,facility_code,facility_detail,temporal_scope,study_unit,focal_factor_code,focal_factor_detail,comparison_type,comparison_detail,study_outcome_code,study_outcome_subcode,study_outcome_detail,evidence_section,evidence_passage,extraction_confidence,review_required,new_code_candidate,new_code_parent,new_code_label,full_text_url,retrieval_attempts,last_checked,full_text_source,full_text_verified,extraction_source_section,extraction_evidence,audit_status,audit_notes
75078,"Effects of selenium-enriched prebiotic on the growth performance, innate immune response, oxidative enzyme activity and microbiome of rainbow trout (Oncorhynchus mykiss)",10.1016/j.aquaculture.2020.735980,obtained,extracted,"rainbow trout (Oncorhynchus mykiss)",aquaculture_production_system,RAS,"experimental rainbow trout aquaculture system",USA,"Evaluate selenium-enriched prebiotic yeast as a functional dietary ingredient for growth, innate immunity, oxidative enzymes and microbiome",empirical_research,empirical,quantitative,experiment,juvenile,experimental_stock,RAS,"experimental tanks",trial period not recorded here,fish_group,diet_feed,"selenium-enriched Schizosaccharomyces pombe yeast at dietary inclusion levels",treatment_comparison_group,"control diet versus selenium-enriched prebiotic diets",production;health_disease,growth;immune_response;microbiome,"growth performance; plasma lysozyme; oxidative enzyme activity; gut microbiome",abstract;methods;results,"Accepted manuscript reports dietary supplementation with selenium-enriched Schizosaccharomyces pombe and effects on growth, lysozyme, oxidative enzymes and microbiome.",high,false,false,,,,https://repository.library.noaa.gov/view/noaa/41865,"NOAA accepted manuscript; ScienceDirect article page; exact-title search",2026-08-18,NOAA accepted manuscript,true,Methods;Results,"Accepted manuscript is identified by NOAA as the main document and provides the experimental study.",audited,"Full text verified via NOAA accepted manuscript"
81839,"Early life stress causes persistent impacts on the microbiome of Atlantic salmon",10.1016/j.cbd.2021.100888,obtained,extracted,"Atlantic salmon (Salmo salar)",aquaculture_production_system,laboratory_aquaculture,"salmon fry exposed to controlled early-life stressors",UK,"Test whether contrasting aquaculture-relevant early-life stressors cause persistent effects on gut and skin microbiomes",empirical_research,empirical,quantitative,experiment,embryo;fry,experimental_stock,laboratory_tank,"controlled tank rearing",four months post hatch plus pre-feeding larvae,fish_group,environmental_condition,"acute cold shock/air exposure during late embryogenesis; chronic post-hatch lack of substrate/shelter",treatment_comparison_group,"cold-stress, chronic-stress and non-stressed control groups",microbiome;health_disease,gut_microbiome;skin_microbiome,"microbiome community structure, diversity and bacterial taxa; targeted qPCR",methods;results;discussion,"The study compared two aquaculture-relevant early-life stressors with a non-stressed control and characterised gut and skin microbiomes using 16S rRNA amplicon sequencing, with targeted qPCR at early stages.",high,false,false,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC8600188/;https://cronfa.swansea.ac.uk/Record/cronfa56111/Description,"PMC; Swansea University repository; ScienceDirect open-access page",2026-08-18,PMC/Swansea repository,true,Methods;Results,"Full article includes experimental design, sampling, sequencing, qPCR and results.",audited,"Full text verified"
82917,"Ağ kafeslerde yetiştirilen gökkuşağı alabalığı Oncorhynhus mykiss (Walbaum, 1792)'in kan protein düzeyleri Blood protein levels of rainbow trout Oncorhynchus mykiss (Walbaum, 1792) cultured in the cage",10.24925/turjaf.v7i8.1177-1181.2587,obtained,extracted,"rainbow trout (Oncorhynchus mykiss)",aquaculture_production_system,marine_or_lake_cage,"cage culture in Keban Dam Lake",Turkey,"Examine monthly variation in blood protein levels of cage-cultured rainbow trout",empirical_research,empirical,quantitative,observational_monitoring,fish of same age,commercial_stock,lake_cage,"Keban Dam Lake cages",one year,individual_fish,temporal_condition,"month/season",time_series,"monthly measurements across one year",health_disease,blood_biochemistry,"total protein, albumin, globulin and fibrinogen",abstract;methods;results,"Ten fish of the same age group were sampled monthly for one year; length and weight were measured and serum total protein, albumin, globulin and fibrinogen were determined.",high,false,false,,,,https://www.researchgate.net/publication/335093649_Ag_Kafeslerde_Yetistirilen_Gokkusagi_Alabaligi_Oncorhynchus_mykiss_Walbaum_1792%27in_Kan_Protein_duzeyleri,"ResearchGate full-text PDF; journal article; Fırat University repository search",2026-08-18,ResearchGate/journal PDF,true,Methods;Results,"Full article text reports one-year monthly sampling and significant monthly changes in all measured blood protein variables.",audited,"Full text verified"
81025,"Evaluation of the biosecurity and network of the Irish salmonid farming industry: implications for disease prevention and control",10.3389/conf.FVETS.2016.02.00068,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.researchgate.net/publication/312399243_Evaluation_of_the_biosecurity_and_network_of_the_Irish_salmonid_farming_industry_implications_for_disease_prevention_and_control,"ResearchGate explicitly reports no full-text available; exact-title and DOI searches; related full article located but not this record",2026-08-18,,false,,,audited,"No verified complete full text for this specific conference abstract; no extraction"
81130,"High mortality of rainbow trout (Salmo gairdneri) fry caused by deficiency of vitamins C and B2 in commercial fish farms in Yugoslavia",10.1016/0044-8486(89)90464-X,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/004484868990464X,"ScienceDirect full article page/abstract; exact-title and DOI/PDF searches; no verified complete PDF",2026-08-18,,false,,,audited,"Publisher provides abstract but complete article not verified; no extraction"
020-246-382-201-989,"Spray-dried porcine plasma protein improves the performance of Atlantic salmon (Salmo salar) during sea-water transfer",10.1007/s10499-025-02384-z,obtained,extracted,"Atlantic salmon (Salmo salar)",aquaculture_production_system,RAS,"200-L tanks within a recirculating aquaculture system",Iceland,"Evaluate 5% spray-dried porcine plasma protein in the diet of juvenile Atlantic salmon during seawater transfer",empirical_research,empirical,quantitative,experiment,parr;smolt,commercial_farm_stock,RAS,"Matis Aquaculture Research Station",87 days,fish_group,diet_feed,"5% Proglobulin spray-dried porcine plasma protein",treatment_comparison_group,"control feed versus 5% Proglobulin feed",production,growth;feed_intake;survival,"feed intake, final body weight, weight gain, SGR, TGC, FCR and survival",methods;results;discussion,"The 87-day trial used 12 tanks with six replicates per diet; 17 days freshwater followed by 70 days seawater. Plasma supplementation increased feed intake and growth but did not significantly improve survival.",high,false,false,,,,https://link.springer.com/article/10.1007/s10499-025-02384-z,"Springer open-access full text; ResearchGate public full-text PDF; DOI/title search",2026-08-18,Springer,true,Materials and methods;Results and discussion,"Full text provides feed formulation, tank allocation, seawater transfer, sampling, calculations, statistical analysis and treatment results.",audited,"Full text verified"
74291,"Las Enfermedades De Los Peces Y Su Control En El Norte De America Del Sur (Fish Diseases and Their Control in Northern South America)",10.1111/j.1749-7345.1977.tb00147.x,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.researchgate.net/publication/237963019_LAS_ENFERMEDADES_DE_LOS_PECES_Y_SU_CONTROL_EN_EL_NORTE_DE_AMERICA_DEL_SUR_FISH_DISEASES_AND_THEIR_CONTROL_IN_NORTHERN_SOUTH_AMERICA,"ResearchGate explicitly requests full text; exact-title/DOI searches; no verified complete PDF",2026-08-18,,false,,,audited,"Abstract located but no verified complete full text; no extraction"
74652,"Identification and characterization of lactic acid bacteria isolated from rainbow trout (Oncorhynchus mykiss, Walbaum 1792), with inhibitory activity against Vagococcus salmoninarum and Lactococcus garvieae",10.1111/anu.12571,obtained,extracted,"rainbow trout (Oncorhynchus mykiss)",aquaculture_production_system,laboratory_aquaculture,"rainbow trout intestinal isolates and experimental challenge fish",Turkey,"Identify and characterise lactic acid bacteria from rainbow trout for probiotic properties and inhibitory activity against two fish pathogens",empirical,empirical,quantitative,"isolation;in vitro assays;challenge experiment",juvenile,experimental_stock,laboratory_tank,"experimental rainbow trout challenge",study duration not stated,fish_group,probiotic,"selected lactic acid bacterial isolates",treatment_comparison_group,"selected probiotic isolates versus pathogen challenge controls",health_disease,probiotic_activity;disease_resistance,"inhibition of Vagococcus salmoninarum and Lactococcus garvieae; isolate tolerance/adherence; pathogenicity/challenge outcomes",abstract;methods;results,"Ninety-eight lactic acid bacteria from rainbow trout intestines were screened; ten isolates were selected after in-vitro antagonism and evaluated for pathogenicity, tolerance and challenge performance.",high,false,false,,,,https://www.researchgate.net/publication/317174804_Identification_and_characterization_of_lactic_acid_bacteria_isolated_from_rainbow_trout_Oncorhynchus_mykiss_Walbaum_1792_with_inhibitory_activity_against_Vagococcus_salmoninarum_and_Lactococcus_garvieae,"ResearchGate full-text PDF; Wiley full-text page; AGRIS; institutional publication records",2026-08-18,ResearchGate/Wiley,true,Methods;Results,"Full-text PDF exposes experimental screening, selection and challenge procedures; Wiley confirms full-text availability.",audited,"Full text verified"
74425,"Carotenoids in fish. XX. Carotenoids in Salmo gairdneri rich. And Salmo trutta morpha fario L",10.1007/BF00020526,unobtainable,not_started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.sciencedirect.com/science/article/pii/0305049181904004,"ScienceDirect indexed references; Google Scholar-style exact-title searches; ResearchGate abstract/record; no verified complete article",2026-08-18,,false,,,audited,"Secondary sources confirm study compared trout from fish farm/artificial food and river/natural food, but complete paper not verified; no extraction"
79467,"Piscine orthoreovirus demonstrates high infectivity but low virulence in Atlantic salmon of Pacific Canada",10.1038/s41598-019-40025-7,obtained,extracted,"Atlantic salmon (Salmo salar)",aquaculture_production_system,laboratory_aquaculture,"Pacific-adapted Mowi-McConnell Atlantic salmon in experimental challenge facilities",Canada,"Investigate infection dynamics of Pacific Canadian PRV and potential passage of putatively associated heart inflammation in Atlantic salmon",empirical_research,empirical,quantitative,experiment,juvenile;smolt,experimental_stock,laboratory_tank,"Pacific Biological Station",multiple challenge phases,fish_group,pathogen_exposure,"PRV source/status and experimental infection/passage",treatment_comparison_group,"PRV isolates from fish with versus without HSMI-like inflammation and control conditions",health_disease,viral_infection;inflammation,"PRV load/viremia, viral persistence, heart inflammation, cytokine transcription and infection phases",methods;results,"Challenge studies used Atlantic salmon from a commercial freshwater hatchery; fish were maintained under controlled conditions and subjected to injection and cohabitation viral passage experiments.",high,false,false,,,,https://pmc.ncbi.nlm.nih.gov/articles/PMC6416343/;https://www.nature.com/articles/s41598-019-40025-7,"PMC; Nature open-access article; exact-title search",2026-08-18,PMC/Nature,true,Methods;Results,"Full text reports fish source and husbandry, challenge design, sampling, qPCR, histopathology, viral load and infection dynamics.",audited,"Full text verified"
